problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID001_M003_J004;manne;0;s/ ub;3;4;48;31;29,0;29,0;20;False;0,0;45;0;132;integer optimal solution;0,008214950561523438;True
ID001_M003_J004;minla_fav;0;s/ ub;3;4;48;31;29,000000000000004;29,000000000000004;21;False;0,0;48;0;132;integer optimal solution;0,004752159118652344;True
ID001_M003_J004;manne;0;s/ ub;3;4;48;31;;23,0;22;False;;21;0;132;optimal;0,0003559589385986328;False
ID001_M003_J004;minla_fav;0;s/ ub;3;4;48;31;;23,0;22;False;;21;0;132;optimal;0,001352071762084961;False
ID002_M003_J005;manne;0;s/ ub;3;5;75;46;33,0;33,0;30;False;0,0;66;0;210;integer optimal solution;0,009836912155151367;True
ID002_M003_J005;minla_fav;0;s/ ub;3;5;75;46;32,999989992900005;33,0;33;False;3,032454543893783e-07;341;55;210;integer optimal, tolerance;0,013298988342285156;True
ID002_M003_J005;manne;0;s/ ub;3;5;75;46;;23,0;33;False;;32;0;210;optimal;0,0004019737243652344;False
ID002_M003_J005;minla_fav;0;s/ ub;3;5;75;46;;23,0;33;False;;32;0;210;optimal;0,0016720294952392578;False
ID003_M015_J015;manne;0;s/ ub;15;15;3375;1801;1209,920792079208;1210,000000000003;1014;False;6,546109156606283e-05;28892227;212400;9900;integer optimal, tolerance;526,0073719024658;True
ID003_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1209,9019301732442;1210,0;1019;False;8,104944359984306e-05;30921543;254698;9900;integer optimal, tolerance;544,6738591194153;True
ID003_M015_J015;manne;0;s/ ub;15;15;3375;1801;;963,0;1033;False;;1032;0;9900;optimal;0,01706719398498535;False
ID003_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;963,0;1033;False;;1032;0;9900;optimal;0,3190028667449951;False
ID004_M015_J015;manne;0;s/ ub;15;15;3375;1801;1176,8835820905388;1177,0;988;False;9,89107132210907e-05;150972971;845080;9900;integer optimal, tolerance;2482,910357952118;True
ID004_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1176,9454545454546;1177,0;983;False;4,634278211164002e-05;100011405;620376;9900;integer optimal, tolerance;1621,0183100700378;True
ID004_M015_J015;manne;0;s/ ub;15;15;3375;1801;;942,0;1024;False;;1023;0;9900;optimal;0,016286134719848633;False
ID004_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;942,0;1024;False;;1023;0;9900;optimal;0,3155829906463623;False
ID005_M015_J015;manne;0;s/ ub;15;15;3375;1801;1196,8832393972104;1197,0;1007;False;9,754436323270235e-05;90114042;503231;9900;integer optimal, tolerance;1459,3427991867065;True
ID005_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1196,9178079214948;1197,0000000000018;1010;False;6,866506140933238e-05;85945836;421267;9900;integer optimal, tolerance;1562,342127084732;True
